TableInfos;;;;;;;;;;;;;;;;;;;;
ID;Title;ShortTitle;Identifier;Summary;Modified;ReasonDelivery;ExplanatoryText;Language;Catalog;Frequency;Period;ShortDescription;Description;DefaultPresentation;DefaultSelection;GraphTypes;OutputStatus;Source;MetaDataModified;SearchPriority
3.7.3 ;3.7.3 Maatsch. integriteit (overig);"F51 Belediging
F5231 Ontucht met dieren / dierenporno
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.7.4 ;3.7.4 Cybercrime;F90 Cybercrime;;;;;;;;;;;;;;;;;;
3.9.1 ;3.9.1 Horizontale fraude;"F614 Fraude met betaalproducten
F616 Ie-fraude/namaakgoederen
F617 Identiteitsfraude
F620 Overige horizontale fraude
F622 Verzekerings en assurantiefraude
F625 Faillissementsfraude
F631 Krediet-,hypotheek- en depotfraude
F632 Aquisitiefraude
F633 Vastgoedfraude
F634 Fraude met kilometertellers
F635 Fraude in de zorg
F636 Fraude met onlinehandel
F637 Voorschotfraude
F638 Telecomfraude
F639 Beleggingsfraude
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.9.2 ;3.9.2 Verticale fraude;"F621 Uitkeringsfraude
F623 Subsidiefraude
F649 Overige verticale fraude
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
3.9.3 ;3.9.3 Fraude (overig);"F600 Oplichting
F601 Flessentrekkerij
F602 Overig bedrog
F610 Vals geld aanmaken
F611 Vals geld uitgeven
F612 Vervalsingen overig
F613 Vervalsen paspoort/identiteitskaart/reisdocument
F614 Vervalsing bankpas/giropas/cheques
F615 Vervalsen rijbewijs
F624 Valse aangifte";;;;;;;;;;;;;;;;;;
RegioS;;;;;;;;;;;;;;;;;;;;
Key;Title;Description;;;;;;;;;;;;;;;;;;
NL01  ;Nederland;;;;;;;;;;;;;;;;;;;
LD01  ;Noord-Nederland (LD);"LD = Landsdeel

Noord-Nederland: Groningen, Fryslân, Drenthe

Regionale groepering van provincies. Nederland telt 4 landsdelen.";;;;;;;;;;;;;;;;;;
LD02  ;Oost-Nederland (LD);"LD = Landsdeel

Oost-Nederland: Overijssel, Flevoland, Gelderland

Regionale groepering van provincies. Nederland telt 4 landsdelen.";;;;;;;;;;;;;;;;;;
LD03  ;West-Nederland (LD);"LD = Landsdeel

West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland

Regionale groepering van provincies. Nederland telt 4 landsdelen.";;;;;;;;;;;;;;;;;;
LDG4  ;West-Nederland, exclusief G4 (LD);"LD = Landsdeel

West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland, exclusief
de gemeenten Amsterdam, 's-Gravenhage, Rotterdam en Utrecht (G4).

Regionale groepering van provincies. Nederland telt 4 landsdelen.";;;;;;;;;;;;;;;;;;
LD04  ;Zuid-Nederland (LD);"LD = Landsdeel

Zuid-Nederland: Noord-Brabant, Limburg

Regionale groepering van provincies. Nederland telt 4 landsdelen.";;;;;;;;;;;;;;;;;;
LD99  ;Niet in te delen (LD);"LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen.

Niet in te delen: door een gebrek aan informatie of door onjuiste informatie is een toedeling aan een bepaald landsdeel niet altijd mogelijk.";;;;;;;;;;;;;;;;;;
PV20  ;Groningen (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV21  ;Fryslân (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV22  ;Drenthe (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV23  ;Overijssel (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV24  ;Flevoland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV25  ;Gelderland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV26  ;Utrecht (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV27  ;Noord-Holland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV28  ;Zuid-Holland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV29  ;Zeeland (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV30  ;Noord-Brabant (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV31  ;Limburg (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.";;;;;;;;;;;;;;;;;;
PV99  ;Niet in te delen (PV);"PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12 provincies.

Niet in te delen: door een gebrek aan informatie of door onjuiste informatie is een toedeling aan een bepaalde provincie niet altijd mogelijk.";;;;;;;;;;;;;;;;;;
GM1680;Aa en Hunze;Ontstaan per 01-01-1998;;;;;;;;;;;;;;;;;;
GM0358;Aalsmeer;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0197;Aalten;"Gemeentelijke herindeling per 01-01-2005
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0059;Achtkarspelen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0482;Alblasserdam;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0613;Albrandswaard;Ontstaan per 01-01-1985;;;;;;;;;;;;;;;;;;
GM0361;Alkmaar;"Gemeentelijke herindeling per 01-01-2015
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0141;Almelo;Begindatum 01-12-1913;;;;;;;;;;;;;;;;;;
GM0034;Almere;Ontstaan per 01-01-1984;;;;;;;;;;;;;;;;;;
GM0484;Alphen aan den Rijn;"Gemeentelijke herindeling per 01-01-2014
Naamswijziging per 01-01-1918";;;;;;;;;;;;;;;;;;
GM1723;Alphen-Chaam;Ontstaan per 01-01-1997;;;;;;;;;;;;;;;;;;
GM1959;Altena;Ontstaan per 01-01-2019;;;;;;;;;;;;;;;;;;
GM0060;Ameland;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0307;Amersfoort;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0362;Amstelveen;Naamswijziging per 01-01-1964;;;;;;;;;;;;;;;;;;
GM0363;Amsterdam;"Gemeentelijke herindeling per 24-03-2022
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0200;Apeldoorn;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0202;Arnhem;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0106;Assen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0743;Asten;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0744;Baarle-Nassau;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0308;Baarn;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0489;Barendrecht;Naamswijziging per 10-12-1886;;;;;;;;;;;;;;;;;;
GM0203;Barneveld;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0888;Beek (L.);Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM1954;Beekdaelen;Ontstaan per 01-01-2019;;;;;;;;;;;;;;;;;;
GM0889;Beesel;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM1945;Berg en Dal;Naamswijziging per 01-01-2016;;;;;;;;;;;;;;;;;;
GM1724;Bergeijk;Naamswijziging per 25-09-1998;;;;;;;;;;;;;;;;;;
GM0893;Bergen (L.);Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM0373;Bergen (NH.);"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0748;Bergen op Zoom;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1859;Berkelland;Ontstaan per 01-01-2005;;;;;;;;;;;;;;;;;;
GM1721;Bernheze;Naamswijziging per 28-01-1995;;;;;;;;;;;;;;;;;;
GM0753;Best;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0209;Beuningen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0375;Beverwijk;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0310;De Bilt;"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1728;Bladel;Ontstaan per 01-01-1997;;;;;;;;;;;;;;;;;;
GM0376;Blaricum;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0377;Bloemendaal;"Gemeentelijke herindeling per 01-01-2009
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1901;Bodegraven-Reeuwijk;Ontstaan per 01-01-2011;;;;;;;;;;;;;;;;;;
GM0755;Boekel;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1681;Borger-Odoorn;Ontstaan per 01-01-1998;;;;;;;;;;;;;;;;;;
GM0147;Borne;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0654;Borsele;Naamswijziging per 01-01-1970;;;;;;;;;;;;;;;;;;
GM0757;Boxtel;"Gemeentelijke herindeling per 01-01-2021
Gemeentelijke herindeling per 01-01-1996
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0758;Breda;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1876;Bronckhorst;Ontstaan per 01-01-2005;;;;;;;;;;;;;;;;;;
GM0213;Brummen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0899;Brunssum;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM0312;Bunnik;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0313;Bunschoten;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0214;Buren;"Gemeentelijke herindeling per 01-01-1999
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0502;Capelle aan den IJssel;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0383;Castricum;"Gemeentelijke herindeling per 01-01-2002
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0109;Coevorden;"Gemeentelijke herindeling per 01-01-1998
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1706;Cranendonck;Naamswijziging per 28-01-1998;;;;;;;;;;;;;;;;;;
GM0216;Culemborg;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0148;Dalfsen;"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1891;Dantumadiel;Naamswijziging per 01-01-2009;;;;;;;;;;;;;;;;;;
GM0503;Delft;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0762;Deurne;Naamswijziging per 01-01-1926;;;;;;;;;;;;;;;;;;
GM0150;Deventer;"Gemeentelijke herindeling per 01-01-2005
Gemeentelijke herindeling per 01-01-1999
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0384;Diemen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1980;Dijk en Waard;Ontstaan per 01-01-2022;;;;;;;;;;;;;;;;;;
GM1774;Dinkelland;Naamswijziging per 01-06-2002;;;;;;;;;;;;;;;;;;
GM0221;Doesburg;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0222;Doetinchem;"Gemeentelijke herindeling per 01-01-2005
Begindatum 01-01-1920";;;;;;;;;;;;;;;;;;
GM0766;Dongen;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0505;Dordrecht;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0498;Drechterland;"Gemeentelijke herindeling per 01-01-2006
Naamswijziging per 01-01-1980";;;;;;;;;;;;;;;;;;
GM1719;Drimmelen;Naamswijziging per 25-04-1998;;;;;;;;;;;;;;;;;;
GM0303;Dronten;Ontstaan per 01-01-1972;;;;;;;;;;;;;;;;;;
GM0225;Druten;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0226;Duiven;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1711;Echt-Susteren;Ontstaan per 01-01-2003;;;;;;;;;;;;;;;;;;
GM0385;Edam-Volendam;"Gemeentelijke herindeling per 01-01-2016
Naamswijziging per 01-01-1975";;;;;;;;;;;;;;;;;;
GM0228;Ede;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0317;Eemnes;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1979;Eemsdelta;Ontstaan per 01-01-2021;;;;;;;;;;;;;;;;;;
GM0770;Eersel;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1903;Eijsden-Margraten;Ontstaan per 01-01-2011;;;;;;;;;;;;;;;;;;
GM0772;Eindhoven;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0230;Elburg;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0114;Emmen;"Gemeentelijke herindeling per 01-01-1998
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0388;Enkhuizen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0153;Enschede;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0232;Epe;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0233;Ermelo;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0777;Etten-Leur;Naamswijziging per 01-01-1968;;;;;;;;;;;;;;;;;;
GM1940;De Fryske Marren;Naamswijziging per 01-07-2015;;;;;;;;;;;;;;;;;;
GM0779;Geertruidenberg;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1771;Geldrop-Mierlo;Ontstaan per 01-01-2004;;;;;;;;;;;;;;;;;;
GM1652;Gemert-Bakel;Ontstaan per 01-01-1997;;;;;;;;;;;;;;;;;;
GM0907;Gennep;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM0784;Gilze en Rijen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1924;Goeree-Overflakkee;Ontstaan per 01-01-2013;;;;;;;;;;;;;;;;;;
GM0664;Goes;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0785;Goirle;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1942;Gooise Meren;Ontstaan per 01-01-2016;;;;;;;;;;;;;;;;;;
GM0512;Gorinchem;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0513;Gouda;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0518;'s-Gravenhage (gemeente);Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0014;Groningen (gemeente);"Gemeentelijke herindeling per 01-01-2019
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1729;Gulpen-Wittem;Ontstaan per 01-01-1999;;;;;;;;;;;;;;;;;;
GM0158;Haaksbergen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0392;Haarlem;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0394;Haarlemmermeer;"Gemeentelijke herindeling per 01-01-2019
Begindatum 16-11-1855";;;;;;;;;;;;;;;;;;
GM1655;Halderberge;Ontstaan per 01-01-1997;;;;;;;;;;;;;;;;;;
GM0160;Hardenberg;"Gemeentelijke herindeling per 01-01-2001
Ontstaan per 01-05-1941";;;;;;;;;;;;;;;;;;
GM0243;Harderwijk;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0523;Hardinxveld-Giessendam;Ontstaan per 01-01-1957;;;;;;;;;;;;;;;;;;
GM0072;Harlingen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0244;Hattem;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0396;Heemskerk;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0397;Heemstede;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0246;Heerde;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0074;Heerenveen;"Gemeentelijke herindeling per 01-01-2014
Begindatum 01-07-1934";;;;;;;;;;;;;;;;;;
GM0917;Heerlen;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM1658;Heeze-Leende;Ontstaan per 01-01-1997;;;;;;;;;;;;;;;;;;
GM0399;Heiloo;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0400;Den Helder;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0163;Hellendoorn;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0794;Helmond;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0531;Hendrik-Ido-Ambacht;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0164;Hengelo (O.);Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0796;'s-Hertogenbosch;"Gemeentelijke herindeling per 01-01-2015
Gemeentelijke herindeling per 01-01-1996
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0252;Heumen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0797;Heusden;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0534;Hillegom;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0798;Hilvarenbeek;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0402;Hilversum;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1963;Hoeksche Waard;Ontstaan per 01-01-2019;;;;;;;;;;;;;;;;;;
GM1735;Hof van Twente;Ontstaan per 01-01-2001;;;;;;;;;;;;;;;;;;
GM1966;Het Hogeland;Ontstaan per 01-01-2019;;;;;;;;;;;;;;;;;;
GM1911;Hollands Kroon;Ontstaan per 01-01-2012;;;;;;;;;;;;;;;;;;
GM0118;Hoogeveen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0405;Hoorn;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1507;Horst aan de Maas;"Gemeentelijke herindeling per 01-01-2010
Ontstaan per 01-01-2001";;;;;;;;;;;;;;;;;;
GM0321;Houten;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0406;Huizen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0677;Hulst;"Gemeentelijke herindeling per 01-01-2003
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0353;IJsselstein;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1884;Kaag en Braassem;Ontstaan per 01-01-2009;;;;;;;;;;;;;;;;;;
GM0166;Kampen;"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0678;Kapelle;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0537;Katwijk;"Gemeentelijke herindeling per 01-01-2006
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0928;Kerkrade;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM1598;Koggenland;Ontstaan per 01-01-2007;;;;;;;;;;;;;;;;;;
GM0542;Krimpen aan den IJssel;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1931;Krimpenerwaard;Ontstaan per 01-01-2015;;;;;;;;;;;;;;;;;;
GM1659;Laarbeek;Ontstaan per 01-01-1997;;;;;;;;;;;;;;;;;;
GM1982;Land van Cuijk;Ontstaan per 01-01-2022;;;;;;;;;;;;;;;;;;
GM0882;Landgraaf;Ontstaan per 01-01-1982;;;;;;;;;;;;;;;;;;
GM0415;Landsmeer;"Gemeentelijke herindeling per 01-01-1991
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1621;Lansingerland;Ontstaan per 01-01-2007;;;;;;;;;;;;;;;;;;
GM0417;Laren (NH.);Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0080;Leeuwarden;"Gemeentelijke herindeling per 01-01-2018
Gemeentelijke herindeling per 01-01-2014
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0546;Leiden;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0547;Leiderdorp;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1916;Leidschendam-Voorburg;Ontstaan per 01-01-2002;;;;;;;;;;;;;;;;;;
GM0995;Lelystad;Ontstaan per 01-01-1980;;;;;;;;;;;;;;;;;;
GM1640;Leudal;Ontstaan per 01-01-2007;;;;;;;;;;;;;;;;;;
GM0327;Leusden;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1705;Lingewaard;Naamswijziging per 01-01-2003;;;;;;;;;;;;;;;;;;
GM0553;Lisse;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0262;Lochem;"Gemeentelijke herindeling per 01-01-2005
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0809;Loon op Zand;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0331;Lopik;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0168;Losser;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0263;Maasdriel;"Gemeentelijke herindeling per 01-01-1999
Naamswijziging per 01-08-1944";;;;;;;;;;;;;;;;;;
GM1641;Maasgouw;Ontstaan per 01-01-2007;;;;;;;;;;;;;;;;;;
GM1991;Maashorst;Ontstaan per 01-01-2022;;;;;;;;;;;;;;;;;;
GM0556;Maassluis;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0935;Maastricht;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0420;Medemblik;"Gemeentelijke herindeling per 01-01-2011
Gemeentelijke herindeling per 01-01-2007
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0938;Meerssen;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM1948;Meierijstad;Ontstaan per 01-01-2017;;;;;;;;;;;;;;;;;;
GM0119;Meppel;"Gemeentelijke herindeling per 01-01-1998
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0687;Middelburg (Z.);"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1842;Midden-Delfland;Ontstaan per 01-01-2004;;;;;;;;;;;;;;;;;;
GM1731;Midden-Drenthe;Naamswijziging per 01-01-2000;;;;;;;;;;;;;;;;;;
GM1952;Midden-Groningen;Ontstaan per 01-01-2018;;;;;;;;;;;;;;;;;;
GM1709;Moerdijk;Naamswijziging per 04-04-1998;;;;;;;;;;;;;;;;;;
GM1978;Molenlanden;Ontstaan per 01-01-2019;;;;;;;;;;;;;;;;;;
GM1955;Montferland;Ontstaan per 01-01-2005;;;;;;;;;;;;;;;;;;
GM0335;Montfoort;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0944;Mook en Middelaar;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM1740;Neder-Betuwe;Naamswijziging per 01-04-2003;;;;;;;;;;;;;;;;;;
GM0946;Nederweert;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM0356;Nieuwegein;Ontstaan per 01-07-1971;;;;;;;;;;;;;;;;;;
GM0569;Nieuwkoop;"Gemeentelijke herindeling per 01-01-2007
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0267;Nijkerk;"Gemeentelijke herindeling per 01-01-2000
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0268;Nijmegen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1930;Nissewaard;Ontstaan per 01-01-2015;;;;;;;;;;;;;;;;;;
GM1970;Noardeast-Fryslân;Ontstaan per 01-01-2019;;;;;;;;;;;;;;;;;;
GM1695;Noord-Beveland;Ontstaan per 01-01-1995;;;;;;;;;;;;;;;;;;
GM1699;Noordenveld;Ontstaan per 01-01-1998;;;;;;;;;;;;;;;;;;
GM0171;Noordoostpolder;"Provinciale wijziging per 01-01-1986
Naamswijziging per 01-07-1962";;;;;;;;;;;;;;;;;;
GM0575;Noordwijk;"Gemeentelijke herindeling per 01-01-2019
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0820;Nuenen, Gerwen en Nederwetten;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0302;Nunspeet;Ontstaan per 01-01-1972;;;;;;;;;;;;;;;;;;
GM0579;Oegstgeest;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0823;Oirschot;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0824;Oisterwijk;"Gemeentelijke herindeling per 01-01-2021
Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1895;Oldambt;Ontstaan per 01-01-2010;;;;;;;;;;;;;;;;;;
GM0269;Oldebroek;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0173;Oldenzaal;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1773;Olst-Wijhe;Naamswijziging per 26-03-2002;;;;;;;;;;;;;;;;;;
GM0175;Ommen;Begindatum 01-05-1923;;;;;;;;;;;;;;;;;;
GM1586;Oost Gelre;Naamswijziging per 19-05-2006;;;;;;;;;;;;;;;;;;
GM0826;Oosterhout;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0085;Ooststellingwerf;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0431;Oostzaan;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0432;Opmeer;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0086;Opsterland;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0828;Oss;"Gemeentelijke herindeling per 01-01-2015
Gemeentelijke herindeling per 01-01-2011
Gemeentelijke herindeling per 01-01-2003
Gemeentelijke herindeling per 01-01-1994
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1509;Oude IJsselstreek;Ontstaan per 01-01-2005;;;;;;;;;;;;;;;;;;
GM0437;Ouder-Amstel;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0589;Oudewater;"Provinciale wijziging per 01-09-1970
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
